Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C16, C17, C18, C2, C20, C21, C22, C3, C5, C6, C7",0805,13,0.33 uF,
C10,EEE0GA101SR,1,47 uF,C178500
C11,0805,1,1 uF,C2167382
"C110, C32, C34, C541",0805,4,0.1 uF,C123316
CN1,PinHeader_2x40_P2.54mm_Vertical,1,CN_Conn_02x40_Odd_Even,
E666,0805,1,22 pF,
FB101,1206,1,FB,C6401928
J101,SolderJumper-3_P1.3mm_Bridged23_RoundedPad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Bridged23,
"R201, R202, RP910.10, RP910.9",0805,4,4.7K,C4279556
"RP201, RP202, RP203, RP903",CAY1647R0F4LF,4,68R,
RP201.5,0805,1,68,C137411
"RP910, RP916",EXBD10C102J,2,4.7k x8,C2654036
"U1, U16, U20, U5",SOJ-40_10.16x23.49mm_P1.27mm,4,16x256k,
U101,PLCC-84_THT-Socket,1,SUPER FAT LADY 8375,
U32,SOIC127P600X175-16N,1,CD74AC139M96,
U34,SOIC127P1030X265-20N,1,SN74F373DWR,
U35,SOIC127P1030X265-20N,1,SN74F244DWR,
X1,Oscillator_DIP-14,1,28.37516MHz,
